method,N,dt_obs,seed,mean_forecast_rmse,mean_analysis_rmse,median_analysis_rmse,analysis_improvement,r_mae,r_corr,innovation_mean,innovation_variance
adaptive,20,0.2,2,4.0093555920515405,3.8032374075681874,4.086731174183786,0.20611818448335306,0.4662603121795615,-0.11666672207313072,0.08392984766036796,18.672749257935223
oracle,20,0.2,2,4.157923951540972,3.9676490535521474,4.409057398046813,0.19027489798882424,0.0,0.9999999999999999,0.03684852585038439,19.924205553065352
fixed,40,0.05,2,3.737249250707032,3.686492054407881,4.1640492242121665,0.05075719629915065,0.44437628264621987,,-0.05860642690222811,17.572134828399374
adaptive,40,0.05,2,2.776167655126299,2.7256106074187985,2.9228852860371393,0.05055704770750058,0.4783429918349808,0.1342741249285834,-0.06507054826919356,12.538864207377866
oracle,40,0.05,2,0.3032139259991999,0.27943287749060125,0.2722784666951814,0.023781048508598635,0.0,0.9999999999999999,0.019520949799265833,1.1087592123116323
fixed,40,0.1,2,3.660805419376662,3.525059276608098,3.8567392223545336,0.13574614276856423,0.4428330901773417,,-0.06706337060941577,16.13459448132173
adaptive,40,0.1,2,2.6905489330150707,2.5868111868292547,2.8132580597427834,0.103737746185816,0.46420585916130935,0.08561832948435774,-0.0029789950880652056,12.132531974571862
oracle,40,0.1,2,2.7661110698764015,2.6439520002743038,3.1197115431558387,0.12215906960209777,0.0,1.0,-0.07333750772360043,12.561093290163821
fixed,40,0.2,2,3.3641394508351294,3.0279169915848185,3.566200929273007,0.3362224592503109,0.4406408471566618,,-0.09377205102324691,15.179787256596812
adaptive,40,0.2,2,3.85441033243696,3.573010417405668,3.910987389560521,0.281399915031292,0.49894311595538293,-0.3206001324028004,-0.014883360350558749,17.56657958488803
oracle,40,0.2,2,3.2519967377790127,2.9536857051398013,3.631401547289001,0.2983110326392113,0.0,0.9999999999999999,0.080777984408635,14.055014790537493
fixed,10,0.05,3,4.5775967592727245,4.554149016301559,4.78720157966526,0.023447742971165475,0.44437628264621987,,0.11373118452562066,22.99804992329019
adaptive,10,0.05,3,4.762961753999829,4.736955925318903,4.957521628354181,0.02600582868092527,0.41089324416685247,0.28815888714928195,-0.15607708412917873,24.839903775085418
oracle,10,0.05,3,4.452227124724921,4.424017325311786,4.544188668203364,0.028209799413135173,0.0,0.9999999999999999,0.06394400737678685,21.736454133803495
fixed,10,0.1,3,4.672632444210778,4.614062555493219,4.892081269539694,0.05856988871755853,0.4428330901773417,,-0.07263938212497426,24.28128206165513
adaptive,10,0.1,3,4.412098406937868,4.360346172688706,4.7591551528890275,0.051752234249161866,0.3951184038931261,0.366173026487264,-0.0040091971492937145,22.200703857077393
oracle,10,0.1,3,4.588799521074152,4.533913874078213,4.7768128667312855,0.05488564699593912,0.0,1.0,-0.0511661603465307,23.307367577062596
fixed,10,0.2,3,4.507179423236142,4.384933084615863,4.605540251050987,0.122246338620279,0.4406408471566618,,0.010969997545915138,22.616470944713797
adaptive,10,0.2,3,4.7135814027939,4.607968215357507,4.886733960976625,0.10561318743639347,0.4136021260615099,0.27579156302630203,-0.07728711502661532,24.586498530143995
oracle,10,0.2,3,4.501068483189167,4.389671267374421,4.709225587865651,0.11139721581474582,0.0,0.9999999999999999,0.12242308247962741,22.61245557542498
fixed,20,0.05,3,4.308192950111765,4.262991349765622,4.696983338772506,0.04520160034614307,0.44437628264621987,,-0.1472131317385779,21.524367755588116
adaptive,20,0.05,3,3.9237930718685803,3.881562262308492,4.253534266362319,0.04223080956008829,0.4546260938938437,0.10953869508613803,-0.025631829814124433,18.102207010562317
oracle,20,0.05,3,4.404632513678508,4.357492278656057,4.546872088722209,0.047140235022451016,0.0,0.9999999999999999,-0.0958681949041785,21.702353260990122
fixed,20,0.1,3,4.336230235813599,4.234307259900913,4.466456626982732,0.10192297591268673,0.4428330901773417,,0.013125805373370934,21.17309028508425
adaptive,20,0.1,3,4.034057694781575,3.940982762657602,4.293289761948144,0.09307493212397322,0.4556334478106139,0.08721638706907647,-0.08327155146454732,19.557593845397736
oracle,20,0.1,3,4.25826355057739,4.159665189571844,4.532159761290078,0.09859836100554631,0.0,1.0,0.01650686144292622,20.48513723153895
fixed,20,0.2,3,4.316923605274868,4.087547372931559,4.4640331984904735,0.2293762323433084,0.4406408471566618,,-0.0054221977093553315,21.362099492718944
adaptive,20,0.2,3,4.0512546287486915,3.864374060942924,4.362912253549911,0.18688056780576767,0.42334769544228906,0.35585827515181645,-0.03384107383649053,19.984171914942237
oracle,20,0.2,3,4.146015988527214,3.9346123516925338,4.175993768355014,0.21140363683468033,0.0,0.9999999999999999,0.07858534170176344,19.597868661027658
fixed,40,0.05,3,3.690002319388729,3.63876660264845,4.333936230230142,0.051235716740278825,0.44437628264621987,,-0.03946513392844204,17.686150669993225
adaptive,40,0.05,3,2.7938916954100277,2.744584846745493,3.279006799755328,0.04930684866453472,0.4331345361139175,0.15870685410148974,-0.012964538135820968,12.473848146725928
oracle,40,0.05,3,3.195527665945483,3.141622717586702,3.9604629697870757,0.05390494835878101,0.0,0.9999999999999999,-0.026945216807257106,14.84584402857221
fixed,40,0.1,3,3.683664998724009,3.562138761846799,3.833377954422187,0.12152623687721009,0.4428330901773417,,0.0319040393337387,16.53239582896979
adaptive,40,0.1,3,3.174639582753815,3.0570458914628675,3.243626133844013,0.11759369129094743,0.43190267231955953,0.1918978113081006,0.003852437940050479,14.236545786082035
oracle,40,0.1,3,2.9393810849751327,2.8383218213875407,3.998802506513613,0.10105926358759199,0.0,1.0,0.0739082367091678,13.44927968080891
fixed,40,0.2,3,3.3123739470618734,3.0005084342241775,3.593313881125452,0.3118655128376959,0.4406408471566618,,0.0021686770524962035,14.380803973678255
adaptive,40,0.2,3,3.589389252305051,3.2841762389382776,3.578037688230418,0.3052130133667732,0.48626018587996417,-0.14866442454972614,0.01158007096256554,15.965318148790509
oracle,40,0.2,3,3.9589129716153866,3.674330754813348,4.137140512401903,0.28458221680203843,0.0,0.9999999999999999,0.11578610061805523,19.206995503026796
fixed,10,0.05,4,4.388619182731241,4.359831697305784,4.708800633690553,0.028787485425457504,0.44437628264621987,,-0.03286314797251175,21.30669071729593
adaptive,10,0.05,4,4.68055701075999,4.654562522944105,4.989487773643017,0.025994487815884426,0.44300932202576576,0.08507005540920598,0.0717749789970376,24.328014811741593
oracle,10,0.05,4,4.500259602699617,4.476816309451,4.754963229902579,0.023443293248616826,0.0,0.9999999999999999,0.19975870533837428,22.49357935614846
fixed,10,0.1,4,4.626164499128005,4.57360466920755,4.907180896163732,0.052559829920454604,0.4428330901773417,,0.009446636490939603,23.838456954863506
adaptive,10,0.1,4,4.4632890163833965,4.409830684226299,4.677588047235868,0.05345833215709739,0.44008774375745124,0.09722129897470504,0.011892502327617557,22.039081057676725
oracle,10,0.1,4,4.25990472503515,4.206592776432767,4.582462055764648,0.0533119486023832,0.0,1.0,0.05438430738018699,21.28546633813089
fixed,10,0.2,4,4.607535008187295,4.482032153326624,5.057499799686015,0.12550285486067114,0.4406408471566618,,-0.016616422694151308,24.168153750848624
adaptive,10,0.2,4,4.537749898364143,4.407769956141805,4.710602353901421,0.129979942222338,0.43164527096026417,0.1794378769323584,0.016358485386470698,22.722528502002977
oracle,10,0.2,4,4.44106704011345,4.323202667154209,4.797826239001747,0.11786437295924035,0.0,0.9999999999999999,-0.02612260005687518,22.4165357764599
fixed,20,0.05,4,4.147584210420306,4.107172406883922,4.624437784053492,0.04041180353638385,0.44437628264621987,,-0.09957680352579061,20.00200967349104
adaptive,20,0.05,4,4.097100197843511,4.05765400467989,4.317606722294289,0.03944619316362097,0.43275943133907213,0.1615616967064722,0.08430518621245969,19.11836892789495
oracle,20,0.05,4,3.8497130985882366,3.8059419135690638,4.407420423352896,0.043771185019172876,0.0,0.9999999999999999,0.031731689035688,18.831691285799682
fixed,20,0.1,4,4.350275016403553,4.252256963535002,4.669218069002473,0.09801805286855103,0.4428330901773417,,-0.05551213421390005,21.431181561141756
adaptive,20,0.1,4,4.280996562934227,4.199834092368894,4.696405905718811,0.08116247056533332,0.4283278707104452,0.21293386328062383,0.04437050434579504,21.381471840220975
oracle,20,0.1,4,3.8771524472308285,3.782953854313031,4.260145095296811,0.09419859291779753,0.0,1.0,0.08756851815683248,18.25155118639758
fixed,20,0.2,4,4.146110011490257,3.932326797454054,4.281499674085065,0.21378321403620282,0.4406408471566618,,-0.06911980566991474,19.60683815090422
adaptive,20,0.2,4,3.8548637560274925,3.6573799306854986,4.215251541329686,0.19748382534199393,0.45701007238304353,0.06441957567257424,0.0341564480575773,17.966278053911267
oracle,20,0.2,4,3.985661460938015,3.7788119604588957,4.205322634184665,0.20684950047911954,0.0,0.9999999999999999,0.04527281269352898,18.530310664363025
