N,dt_obs,method,n_seeds,mean_analysis_rmse_mean,mean_analysis_rmse_std,mean_forecast_rmse_mean,mean_forecast_rmse_std,median_analysis_rmse_mean,median_analysis_rmse_std,r_mae_mean,r_mae_std,r_corr_mean,r_corr_std,analysis_improvement_mean,analysis_improvement_std
10,0.05,adaptive,5,4.531066526177456,0.16773865983859576,4.5574773108615165,0.16770224992549373,4.8698794722026655,0.16323939187906825,0.4291451337037905,0.01669746238683931,0.19917034897963243,0.07838781286894995,0.026410784684059864,0.000532435688378701
10,0.05,fixed,5,4.547822066986467,0.09685859142318276,4.573876963877057,0.09571739521321626,4.840168784820423,0.08066416861926508,0.44437628264621987,0.0,,,0.026054896890589062,0.0026197103500224237
10,0.05,oracle,5,4.354076083632809,0.09606529497797718,4.380991015390654,0.09615576873534426,4.598241117848197,0.12612946258171015,0.0,0.0,0.9999999999999998,1.1102230246251565e-16,0.026914931757843697,0.0027617793419010502
10,0.1,adaptive,5,4.387821646721963,0.11258878009234402,4.44115921158307,0.11703100449447866,4.7450240308407015,0.05815494598667979,0.4223141081164471,0.024955778664501636,0.1943926377386734,0.15083720571947323,0.053337564861107724,0.0049226687977477965
10,0.1,fixed,5,4.481287336195502,0.09581328736493175,4.534304746340557,0.0988061871378101,4.773127252183559,0.11563162694447303,0.4428330901773417,0.0,,,0.05301741014505588,0.005266857712296016
10,0.1,oracle,5,4.40768639399617,0.10860609390212105,4.459297571992797,0.10835546484093936,4.691903618933757,0.08199195315069384,0.0,0.0,1.0,0.0,0.05161117799662751,0.002708084275483375
10,0.2,adaptive,5,4.331781206665197,0.23831040892174096,4.447390084023134,0.23698235692065703,4.6595169892865895,0.24323795366004533,0.42331490998553,0.015776449288567956,0.22942465586876065,0.06976481852742177,0.11560887735793682,0.008400139571743948
10,0.2,fixed,5,4.364014744897714,0.12621069745910635,4.479853584734566,0.1330209266787229,4.712576769767739,0.1920759232180202,0.44064084715666174,5.551115123125783e-17,,,0.11583883983685173,0.009067536040168153
10,0.2,oracle,5,4.40303381212037,0.07841037357457444,4.524842098800724,0.08878120832790598,4.765419718083329,0.08017315917997461,0.0,0.0,0.9999999999999998,1.1102230246251565e-16,0.12180828668035418,0.011406630639696207
20,0.05,adaptive,5,3.9224147018684183,0.07205644779818005,3.96327736106691,0.07141224985525536,4.323159335448791,0.06221678552946496,0.437797879061007,0.019295186892784078,0.16273905147810558,0.08972559661812739,0.04086265919849082,0.0012833046490940655
20,0.05,fixed,5,4.123239206942591,0.12923144008217485,4.165263291990713,0.13054100283354325,4.5872739394124675,0.15234135747766633,0.44437628264621987,0.0,,,0.042024085048122384,0.0017451398726360953
20,0.05,oracle,5,4.100152363711613,0.1764440850102997,4.143529598819604,0.1775166436495854,4.502714354734283,0.11288163658549406,0.0,0.0,0.9999999999999998,1.1102230246251565e-16,0.04337723510799094,0.00243761543052313
20,0.1,adaptive,5,4.073404651636499,0.08880453561309182,4.160138770694627,0.0850329377932356,4.52188661483723,0.18792892214288814,0.4150527829310048,0.026540880897312054,0.28864053390413835,0.12928553051553787,0.08673411905812838,0.003900739783565312
20,0.1,fixed,5,4.097611098543824,0.12291913025469108,4.185224550740256,0.13320702126548728,4.4312825284207165,0.13963096332816036,0.4428330901773417,0.0,,,0.0876134521964305,0.010439290533583761
20,0.1,oracle,5,4.060134541678584,0.14510253952006746,4.152862970949402,0.14433243115660022,4.500005075507227,0.12106671712553421,0.0,0.0,1.0,0.0,0.09272842927081859,0.003801755600035864
20,0.2,adaptive,5,3.8704515755140063,0.1372937669989428,4.073350458634101,0.14505976214017163,4.314273461741853,0.14782600958939016,0.4484446230645219,0.01731077905392068,0.11589216616797635,0.1766467299012411,0.20289888312009544,0.014177255841243432
20,0.2,fixed,5,4.071286192661644,0.10586833416696978,4.283508793963012,0.0948654578083132,4.451833161567431,0.12009316813927229,0.44064084715666174,5.551115123125783e-17,,,0.21222260130136802,0.016760922887634755
20,0.2,oracle,5,3.9287838224660474,0.082081481808111,4.126378505919467,0.0750925552467411,4.31882969342444,0.14379707076308273,0.0,0.0,0.9999999999999998,1.1102230246251565e-16,0.19759468345341907,0.010394014938379277
40,0.05,adaptive,5,2.9753672763750503,0.33727653741859087,3.0258487732817856,0.3383637875953737,3.48141942250181,0.44621842522700933,0.4427787781824161,0.023817371354292995,0.1886104567341825,0.09182181293964564,0.05048149690673522,0.0014126243314343699
40,0.05,fixed,5,3.474990633592885,0.21830606407785957,3.5280801854044412,0.22011436373471346,4.115874397792076,0.1929371622180285,0.44437628264621987,0.0,,,0.05308955181155613,0.00475692510501544
40,0.05,oracle,5,2.519071709280078,1.123504874161315,2.5652958410365576,1.1348904908532056,3.161470371144017,1.44840698034636,0.0,0.0,0.9999999999999998,1.1102230246251565e-16,0.04622413175647984,0.01161408544554677
40,0.1,adaptive,5,2.990149253650665,0.364243593817359,3.10605975338236,0.3736339096336206,3.3551199850034576,0.5297913375664036,0.45763388623038537,0.037868677829937206,0.09912453884612724,0.1736306853658598,0.11591049973169501,0.009866904251537325
40,0.1,fixed,5,3.5928123356933694,0.2069936961270428,3.7152907987013406,0.20825180431735552,4.00742322415563,0.14441922410893168,0.4428330901773417,0.0,,,0.1224784630079708,0.008932048216914776
40,0.1,oracle,5,2.9811732659693098,0.3591084308027321,3.0976848223745335,0.36262033311936726,3.7523484916813303,0.38607158902631217,0.0,0.0,1.0,0.0,0.11651155640522334,0.008639135310084953
40,0.2,adaptive,5,3.1070654661826813,0.37493929303266593,3.3731628316766176,0.39001833511834805,3.5426293320743083,0.547246880290925,0.45511957360175315,0.031341307992504695,0.03418131507730484,0.23409331713571202,0.2660973654939366,0.027117868368514954
40,0.2,fixed,5,3.1226271231992677,0.2106289021123762,3.4236376053738113,0.2090975317470487,3.6818690710783244,0.12032643729631035,0.44064084715666174,5.551115123125783e-17,,,0.30101048217454307,0.023918057774758167
40,0.2,oracle,5,3.0978126606261096,0.3469040150868881,3.3744004840361668,0.34877949539569936,3.6986588593140035,0.30113721149845746,0.0,0.0,0.9999999999999998,1.1102230246251565e-16,0.27658782341005705,0.014239264881416223
