time,true_r,fixed_r,adaptive_r,oracle_r
0.0,1.0,1.0,0.8213756105896706,1.0
0.1,1.087733263495013,1.0,0.8665611767533148,1.087733263495013
0.2,1.1740829210153985,1.0,0.9983016397572269,1.1740829210153985
0.30000000000000004,1.2576871868792745,1.0,1.1320938380381884,1.2576871868792745
0.4,1.3372275718712008,1.0,1.1906666040047265,1.3372275718712008
0.5,1.411449676604731,1.0,1.2070435488296933,1.411449676604731
0.6000000000000001,1.4791829741500822,1.0,1.2252254077164488,1.4791829741500822
0.7000000000000001,1.5393592699430525,1.0,1.2659394600587879,1.5393592699430525
0.8,1.5910295478514105,1.0,1.2481114499921149,1.5910295478514105
0.9,1.6333789367262137,1.0,1.3559132757036028,1.6333789367262137
1.0,1.6657395614066073,1.0,1.4338025086254527,1.6657395614066073
1.1,1.687601075510082,1.0,1.4064882105723482,1.687601075510082
1.2000000000000002,1.69861870989979,1.0,1.4367103942401225,1.69861870989979
1.3,1.69861870989979,1.0,1.4841026954259522,1.69861870989979
1.4000000000000001,1.687601075510082,1.0,1.53226817520807,1.687601075510082
1.5,1.6657395614066075,1.0,1.531548515809867,1.6657395614066075
1.6,1.6333789367262135,1.0,1.5291860848247412,1.6333789367262135
1.7000000000000002,1.5910295478514105,1.0,1.52384122880627,1.5910295478514105
1.8,1.5393592699430525,1.0,1.4279897976264708,1.5393592699430525
1.9000000000000001,1.4791829741500822,1.0,1.4378361775639663,1.4791829741500822
2.0,1.4114496766047313,1.0,1.2362430077106668,1.4114496766047313
2.1,1.3372275718712006,1.0,1.331784290430503,1.3372275718712006
2.2,1.2576871868792745,1.0,1.3932168830754028,1.2576871868792745
2.3000000000000003,1.174082921015398,1.0,1.4010834927041447,1.174082921015398
2.4000000000000004,1.0877332634950128,1.0,1.3153760327227042,1.0877332634950128
2.5,1.0,1.0,1.3016340127234958,1.0
2.6,0.912266736504987,1.0,1.3525496124371847,0.912266736504987
2.7,0.8259170789846018,1.0,1.115740023189509,0.8259170789846018
2.8000000000000003,0.7423128131207255,1.0,0.9698727525385392,0.7423128131207255
2.9000000000000004,0.662772428128799,1.0,1.138680337470801,0.662772428128799
3.0,0.5885503233952689,1.0,1.0474663134694475,0.5885503233952689
3.1,0.5208170258499178,1.0,0.914218716550879,0.5208170258499178
3.2,0.4606407300569475,1.0,0.786194946923839,0.4606407300569475
3.3000000000000003,0.40897045214858974,1.0,0.6963444321725656,0.40897045214858974
3.4000000000000004,0.3666210632737862,1.0,0.6377135119381054,0.3666210632737862
3.5,0.3342604385933926,1.0,0.5830224978489346,0.3342604385933926
3.6,0.3123989244899179,1.0,0.5180669491809927,0.3123989244899179
3.7,0.30138129010021,1.0,0.4876394097744231,0.30138129010021
3.8000000000000003,0.30138129010021,1.0,0.4391460436306843,0.30138129010021
3.9000000000000004,0.312398924489918,1.0,0.44807816449461013,0.312398924489918
4.0,0.3342604385933925,1.0,0.4143969050951329,0.3342604385933925
4.1000000000000005,0.36662106327378663,1.0,0.393193715826464,0.36662106327378663
4.2,0.4089704521485895,1.0,0.46639630263262855,0.4089704521485895
4.3,0.4606407300569473,1.0,0.4500079433586258,0.4606407300569473
4.4,0.5208170258499183,1.0,0.45829528529495434,0.5208170258499183
4.5,0.5885503233952687,1.0,0.5204351222280811,0.5885503233952687
4.6000000000000005,0.6627724281287999,1.0,0.4944896985099916,0.6627724281287999
4.7,0.7423128131207255,1.0,0.5422548522233475,0.7423128131207255
4.800000000000001,0.8259170789846019,1.0,0.5965700103964506,0.8259170789846019
4.9,0.9122667365049874,1.0,0.6192075656178013,0.9122667365049874
5.0,0.9999999999999998,1.0,0.6707466556232251,0.9999999999999998
5.1000000000000005,1.0877332634950134,1.0,0.7194067033620055,1.0877332634950134
5.2,1.1740829210153985,1.0,0.7502268446608895,1.1740829210153985
5.300000000000001,1.2576871868792747,1.0,0.7251534302617859,1.2576871868792747
5.4,1.3372275718712003,1.0,0.7232184043731369,1.3372275718712003
5.5,1.4114496766047306,1.0,0.7496166856896299,1.4114496766047306
5.6000000000000005,1.479182974150082,1.0,0.7095581207961505,1.479182974150082
5.7,1.5393592699430525,1.0,0.7142558428111009,1.5393592699430525
5.800000000000001,1.591029547851411,1.0,0.7554704066607739,1.591029547851411
5.9,1.6333789367262137,1.0,0.6783196780913865,1.6333789367262137
6.0,1.6657395614066073,1.0,0.6268167165020502,1.6657395614066073
6.1000000000000005,1.687601075510082,1.0,0.7035504001401023,1.687601075510082
6.2,1.69861870989979,1.0,0.8308861529954166,1.69861870989979
6.300000000000001,1.69861870989979,1.0,0.9346568258710513,1.69861870989979
6.4,1.687601075510082,1.0,0.9060370500557661,1.687601075510082
6.5,1.6657395614066075,1.0,0.8558758164467561,1.6657395614066075
6.6000000000000005,1.633378936726214,1.0,0.7736798036414915,1.633378936726214
6.7,1.5910295478514105,1.0,0.8477268023172565,1.5910295478514105
6.800000000000001,1.539359269943052,1.0,0.8788379266786874,1.539359269943052
6.9,1.4791829741500817,1.0,0.9753425649907446,1.4791829741500817
7.0,1.4114496766047313,1.0,0.9644035544950331,1.4114496766047313
7.1000000000000005,1.3372275718712001,1.0,0.996890793656181,1.3372275718712001
7.2,1.2576871868792745,1.0,0.9903683644230655,1.2576871868792745
7.300000000000001,1.1740829210153976,1.0,0.9828152109645999,1.1740829210153976
7.4,1.0877332634950128,1.0,1.0701695643660174,1.0877332634950128
7.5,1.0000000000000002,1.0,1.042326246643217,1.0000000000000002
7.6000000000000005,0.9122667365049878,1.0,1.1009157286960027,0.9122667365049878
7.7,0.8259170789846016,1.0,1.076022201773235,0.8259170789846016
7.800000000000001,0.7423128131207248,1.0,1.1130665577394758,0.7423128131207248
7.9,0.6627724281287992,1.0,1.1469629263928376,0.6627724281287992
8.0,0.5885503233952691,1.0,1.165561488876174,0.5885503233952691
8.1,0.5208170258499185,1.0,1.1962751473762223,0.5208170258499185
8.200000000000001,0.46064073005694683,1.0,1.0860611180100719,0.46064073005694683
8.3,0.40897045214858907,1.0,1.1418338833496695,0.40897045214858907
8.4,0.3666210632737863,1.0,1.1830897982481092,0.3666210632737863
8.5,0.3342604385933926,1.0,1.110050421214145,0.3342604385933926
8.6,0.31239892448991813,1.0,1.0135528211431541,0.31239892448991813
8.700000000000001,0.30138129010021,1.0,0.9414756733668334,0.30138129010021
8.8,0.30138129010021,1.0,1.0408874036899718,0.30138129010021
8.9,0.312398924489918,1.0,1.0527071159961259,0.312398924489918
9.0,0.3342604385933924,1.0,1.1623415542473268,0.3342604385933924
9.1,0.3666210632737861,1.0,1.0568747889708083,0.3666210632737861
9.200000000000001,0.40897045214859007,1.0,1.07234954092954,0.40897045214859007
9.3,0.46064073005694806,1.0,1.0253021538334135,0.46064073005694806
9.4,0.5208170258499181,1.0,1.0362134169059252,0.5208170258499181
9.5,0.5885503233952686,1.0,1.2495816743704191,0.5885503233952686
9.600000000000001,0.6627724281287997,1.0,1.3326645928651406,0.6627724281287997
9.700000000000001,0.7423128131207253,1.0,1.4256162951339706,0.7423128131207253
9.8,0.8259170789846023,1.0,1.4354207477756886,0.8259170789846023
9.9,0.9122667365049872,1.0,1.461840410792608,0.9122667365049872
10.0,0.9999999999999997,1.0,1.4483590930827153,0.9999999999999997
10.100000000000001,1.0877332634950145,1.0,1.414353853113412,1.0877332634950145
10.200000000000001,1.1740829210153994,1.0,1.3810018304155207,1.1740829210153994
10.3,1.2576871868792752,1.0,1.3130924100090682,1.2576871868792752
10.4,1.3372275718712008,1.0,1.2356844693783455,1.3372275718712008
10.5,1.4114496766047309,1.0,1.166760240027092,1.4114496766047309
10.600000000000001,1.4791829741500824,1.0,1.1216452041416827,1.4791829741500824
